??#.????#???.#?# 1,5,1,1,1
????.#???????#?.. 1,10
####??###????#.???. 5,3,3,3
?#.?#???.?#? 1,4,3
#.?#?#???#.#??????? 1,4,2,1,1,1
??#????#?###???#?# 5,11
??.???#???#????????? 1,5,3,1,2
.??????#???####?.#?? 13,3
.??????#?#?.??.?#? 10,1,2
??..??##?#??????.??? 10,3
????#???#####?????.. 10,2
????#?#??#???###? 3,7
????.#?.?????#.? 1,2,6
???????????..? 1,4
?.???#?????.? 1,2,1,1
#??#??#?#???#?#.?? 1,8,3,2
?????###????.???? 1,5,3
???###?#?##????.??.? 1,9,1,1
.?#?##???#????##??.. 9,3
.?.?.?#????????##?. 1,1,1,1,1,4
?.??.??#????##??##?? 3,6
??????#?????.#?? 6,1,3
?#?#???????.?#?.???. 11,3,1,1
?.?#..#??????.??. 1,1,6,1
??????#???### 3,8
???#?#??.??##????#?? 8,1,8
.#?.??.??#? 1,3
?????.??????#?????. 2,1,1,10
??.#????#.? 1,2,1
???#?????????#?#?? 4,8
..??..?????.### 1,2,3
??.???#???.??# 1,7,1,1
?###??..?.??#??#???? 5,4
????????#?..?? 2,5,1
???##?#?????#### 2,2,1,7
?????#???#? 5,1,1
??#.?#???####??#??.? 1,11,1
?#?????##?#?? 5,5
??.??.?####?. 1,6
.???????#?????. 1,6,1
????#.?????.??.?#? 1,1,1,2,1,2
???.?#?????#.?#?.??? 1,4,1,1,2,3
.#??????.#?? 1,1,1,1
..#?.??????????? 2,5
.??##???????. 3,4
??#????#??????????.. 1,4,9
.??#??.#.?# 2,1,1
??.??????.?#????? 1,4
#.?#??#???##? 1,2,7
?###??.#.??. 4,1,1
???#???#???. 7,1
?????????#??? 4,4
???.???????#.? 1,3,2
?#??????##? 4,1,3
?#.??.??#?.# 2,2,2,1
?.#?????.????? 2,1,5
?.#???#.?#?## 1,1,2,5
#?#.?##???????#??.# 3,3,1,2,1
#?#???.?.#.#??# 5,1,1,1,2
??##?.##?????? 2,7
.??###?#??#???? 5,1,6
?.???#?????.?#??? 1,6,2
??.?.?#??.???.???? 1,1,1,1,3,1
???.???.###?##???## 1,1,1,6,3
#???#??##??# 6,2,1
??##??.##????? 3,7
?#?#?#?.???##???.?#? 4,1,7,2
.??#?#????.?##.? 8,2
.???#???.. 1,1,1
.????#??.#?#?. 2,4
#?.?????????..?? 1,1,1,4,1
?#???#??.? 1,2,1
#???????????.???.? 4,3,1,1
????#?#???#???#.?. 12,1
???.??#.?#???#? 2,1,7
??#?.#??.?#?. 1,1,2,1
??#.???#.?? 2,2
?????#??.????? 7,4
?#?????????###?????. 1,1,1,1,5,2
.?#?.#???? 2,3
???###?#?..??.#?# 2,6,1,1,1
..#?.???#?#???#??? 1,12
????##.???? 3,2
?#?????##?????? 1,2,5,1
??????#???# 3,1,3
.##??.???.? 3,1
???##????...??..??? 6,2
???????#???. 1,4,1
?#??#???##?.??.# 10,2,1
?.?.???#??? 1,1,3
?#?#?#??..?? 8,1
??#?.???????#?? 1,10
?.#???#?#??????? 1,2,4,1,3
#?#?.?##?????. 4,6
#?#??.???#? 3,4
?.?????#?#??. 1,8
?.?.?.#.??.??#? 1,1,1,1,3
?#???##??????##???.? 9,4,1
?#???????????.? 5,1,1
#???.??#?#????#?#? 2,1,11
??#???????#???????? 6,1,7,1
?#???#???????#?. 1,4,1,2
????#??.???#.?? 6,2,1,1
???.?#????.# 2,2,1,1
#???#..??#?#????.? 5,7
##?#..???.??.#?# 4,1,1,3
.?..???????.????.?.. 2,3
.???????.?? 4,1,1
.?####??#?? 4,1
??????#????#???? 1,1,6,3
??#???#.????#??. 6,2,4
?????????.#?? 5,2,2
??#??..??????? 3,3
.#?.??????#???. 1,2,1,1,1
????????.?#????? 1,1,1,2,2
?.??.??#??#?? 1,5
.???#??????# 1,1,5
?#?????.#?#?????? 2,1,1,3,5
???#????#????#??#?## 1,1,4,2,5
?.??.#.????..? 1,3
??????#?#??? 8,1
??#??.????#??.? 3,5
?????#.?????#?#???.. 2,2,6
????#.???. 1,1,1
???#?.???#????# 1,2,9
??#?#???###????#? 1,3,1,8
#.???##??##? 1,1,2,2
????#?????.#?.. 5,2
..????.?????? 3,4
????.??????? 2,1,2
.?#??????????.? 7,2
???#??????#?? 2,2,4,1
???##?????#??#?. 1,9,2
#????????.#??.? 1,3,1,1,1
.??.#???#?##??.?? 1,2,2,4,2
???.?????#. 1,2,2
????#????.??? 5,1,1
.????.??#?#?#???.? 3,5,3,1
??????##??#.??? 1,2,5,1
??????##.??.????.? 8,2,1
?.?.?.?#?#?.????#?. 4,6
..?????.?#??? 1,1,5
???#?????????# 1,6,4
